menu_id,restaurant_id,item_name,price
1,1,Pasta,261
2,1,Burger,442
3,1,Momos,230
4,1,Biryani,197
5,1,Paneer Tikka,560
6,2,Momos,133
7,2,Roll,191
8,2,Noodles,123
9,2,Pasta,534
10,2,Burger,467
11,3,Burger,403
12,3,Momos,210
13,3,Pasta,267
14,3,Pasta,545
15,3,Pasta,452
16,4,Paneer Tikka,588
17,4,Roll,496
18,4,Burger,101
19,4,Roll,593
20,4,Fried Rice,517
21,5,Momos,574
22,5,Burger,210
23,5,Pizza,494
24,5,Sandwich,337
25,5,Pizza,559
26,6,Pasta,238
27,6,Momos,598
28,6,Burger,505
29,6,Paneer Tikka,532
30,6,Noodles,398
31,7,Momos,399
32,7,Biryani,192
33,7,Fried Rice,150
34,7,Roll,249
35,7,Noodles,202
36,8,Roll,365
37,8,Pizza,106
38,8,Noodles,520
39,8,Biryani,580
40,8,Biryani,488
41,9,Biryani,377
42,9,Biryani,543
43,9,Sandwich,262
44,9,Paneer Tikka,503
45,9,Roll,346
46,10,Pizza,290
47,10,Pizza,338
48,10,Noodles,343
49,10,Burger,110
50,10,Fried Rice,344
51,11,Burger,226
52,11,Momos,164
53,11,Burger,302
54,11,Pizza,218
55,11,Burger,253
56,12,Roll,289
57,12,Pizza,552
58,12,Pizza,241
59,12,Noodles,468
60,12,Pasta,220
61,13,Momos,480
62,13,Roll,179
63,13,Sandwich,128
64,13,Paneer Tikka,325
65,13,Burger,106
66,14,Fried Rice,420
67,14,Paneer Tikka,252
68,14,Sandwich,126
69,14,Sandwich,262
70,14,Paneer Tikka,422
71,15,Burger,186
72,15,Noodles,285
73,15,Biryani,134
74,15,Pasta,413
75,15,Fried Rice,302
76,16,Momos,377
77,16,Roll,460
78,16,Noodles,486
79,16,Momos,491
80,16,Fried Rice,287
81,17,Sandwich,172
82,17,Roll,207
83,17,Paneer Tikka,210
84,17,Pizza,485
85,17,Pizza,573
86,18,Pasta,562
87,18,Burger,425
88,18,Burger,142
89,18,Sandwich,370
90,18,Roll,137
91,19,Pasta,283
92,19,Momos,505
93,19,Momos,423
94,19,Pasta,193
95,19,Paneer Tikka,138
96,20,Sandwich,155
97,20,Burger,346
98,20,Fried Rice,306
99,20,Pasta,398
100,20,Fried Rice,171
101,21,Roll,221
102,21,Paneer Tikka,267
103,21,Biryani,591
104,21,Momos,499
105,21,Momos,151
106,22,Noodles,325
107,22,Biryani,396
108,22,Sandwich,177
109,22,Noodles,127
110,22,Pasta,200
111,23,Sandwich,554
112,23,Momos,200
113,23,Burger,304
114,23,Fried Rice,344
115,23,Momos,548
116,24,Paneer Tikka,213
117,24,Biryani,499
118,24,Pizza,107
119,24,Pasta,507
120,24,Sandwich,408
121,25,Biryani,354
122,25,Noodles,301
123,25,Pizza,358
124,25,Pizza,150
125,25,Fried Rice,186
126,26,Biryani,450
127,26,Paneer Tikka,258
128,26,Paneer Tikka,572
129,26,Noodles,495
130,26,Momos,424
131,27,Biryani,293
132,27,Paneer Tikka,117
133,27,Burger,483
134,27,Biryani,290
135,27,Paneer Tikka,264
136,28,Paneer Tikka,241
137,28,Sandwich,462
138,28,Paneer Tikka,189
139,28,Pasta,456
140,28,Paneer Tikka,278
141,29,Fried Rice,538
142,29,Roll,493
143,29,Fried Rice,356
144,29,Paneer Tikka,117
145,29,Fried Rice,488
146,30,Pizza,271
147,30,Burger,208
148,30,Roll,577
149,30,Fried Rice,191
150,30,Momos,489
151,31,Roll,472
152,31,Noodles,355
153,31,Momos,189
154,31,Paneer Tikka,288
155,31,Fried Rice,591
156,32,Burger,185
157,32,Pasta,413
158,32,Fried Rice,505
159,32,Sandwich,599
160,32,Sandwich,450
161,33,Momos,198
162,33,Pizza,264
163,33,Burger,319
164,33,Biryani,559
165,33,Sandwich,258
166,34,Paneer Tikka,241
167,34,Pizza,384
168,34,Biryani,331
169,34,Pizza,426
170,34,Burger,499
171,35,Burger,372
172,35,Roll,561
173,35,Biryani,222
174,35,Burger,409
175,35,Sandwich,442
176,36,Fried Rice,204
177,36,Biryani,525
178,36,Pizza,114
179,36,Noodles,420
180,36,Noodles,459
181,37,Pizza,168
182,37,Fried Rice,330
183,37,Paneer Tikka,599
184,37,Fried Rice,525
185,37,Burger,360
186,38,Noodles,142
187,38,Sandwich,213
188,38,Pasta,389
189,38,Roll,400
190,38,Biryani,368
191,39,Noodles,486
192,39,Roll,435
193,39,Roll,340
194,39,Noodles,448
195,39,Noodles,150
196,40,Momos,433
197,40,Noodles,555
198,40,Pasta,190
199,40,Momos,483
200,40,Roll,185
201,41,Paneer Tikka,454
202,41,Noodles,577
203,41,Paneer Tikka,303
204,41,Biryani,565
205,41,Pasta,310
206,42,Pasta,387
207,42,Momos,269
208,42,Biryani,574
209,42,Biryani,498
210,42,Pasta,247
211,43,Pizza,424
212,43,Pizza,453
213,43,Biryani,159
214,43,Noodles,484
215,43,Burger,167
216,44,Paneer Tikka,302
217,44,Burger,163
218,44,Roll,126
219,44,Pasta,338
220,44,Paneer Tikka,562
221,45,Noodles,222
222,45,Pasta,340
223,45,Biryani,426
224,45,Roll,215
225,45,Roll,599
226,46,Noodles,368
227,46,Paneer Tikka,513
228,46,Sandwich,396
229,46,Roll,459
230,46,Noodles,167
231,47,Momos,542
232,47,Pasta,561
233,47,Burger,166
234,47,Momos,178
235,47,Roll,104
236,48,Momos,229
237,48,Momos,380
238,48,Pasta,467
239,48,Burger,277
240,48,Sandwich,379
241,49,Roll,195
242,49,Biryani,266
243,49,Pasta,461
244,49,Biryani,445
245,49,Pasta,547
246,50,Roll,352
247,50,Biryani,164
248,50,Biryani,123
249,50,Momos,271
250,50,Biryani,307
251,51,Sandwich,467
252,51,Noodles,537
253,51,Pasta,159
